kind	name	origin	description
skill	accessibility	ECC	Design, implement, and audit inclusive digital products using WCAG 2.2 Level AA
skill	agent-architecture-audit	oh-my-agent-check	Full-stack diagnostic for agent and LLM applications. Audits the 12-layer agent stack for wrapper regression, memory pollution, tool discipline failures, hidden
skill	agent-eval	ECC	Head-to-head comparison of coding agents (Claude Code, Aider, Codex, etc.) on custom tasks with pass rate, cost, time, and consistency metrics
skill	agent-harness-construction	ECC	Design and optimize AI agent action spaces, tool definitions, and observation formatting for higher completion rates.
skill	agent-introspection-debugging	ECC	Structured self-debugging workflow for AI agent failures using capture, diagnosis, contained recovery, and introspection reports.
skill	agent-payment-x402	community	Add x402 payment execution to AI agents with per-task budgets, spending controls, and non-custodial wallets. Supports Base through agentwallet-sdk and X Layer t
skill	agent-self-evaluation	ECC	Use after completing any non-trivial task. The agent self-rates its output on 5 axes — accuracy, completeness, clarity, actionability, conciseness — with concre
skill	agent-sort	ECC	Build an evidence-backed ECC install plan for a specific repo by sorting skills, commands, rules, hooks, and extras into DAILY vs LIBRARY buckets using parallel
skill	agentic-engineering	ECC	Operate as an agentic engineer using eval-first execution, decomposition, and cost-aware model routing.
skill	agentic-os	ECC	Build persistent multi-agent operating systems on Claude Code. Covers kernel architecture, specialist agents, slash commands, file-based memory, scheduled autom
skill	ai-first-engineering	ECC	Engineering operating model for teams where AI agents generate a large share of implementation output.
skill	ai-regression-testing	ECC	Regression testing strategies for AI-assisted development. Sandbox-mode API testing without database dependencies, automated bug-check workflows, and patterns t
skill	android-clean-architecture	ECC	Clean Architecture patterns for Android and Kotlin Multiplatform projects — module structure, dependency rules, UseCases, Repositories, and data layer patterns.
skill	angular-developer	ECC	Generates Angular code and provides architectural guidance. Trigger when creating projects, components, or services, or for best practices on reactivity (signal
skill	api-connector-builder	ECC direct-port adaptation	Build a new API connector or provider by matching the target repo's existing integration pattern exactly. Use when adding one more integration without inventing
skill	api-design	ECC	REST API design patterns including resource naming, status codes, pagination, filtering, error responses, versioning, and rate limiting for production APIs.
skill	architecture-decision-records	ECC	Capture architectural decisions made during Claude Code sessions as structured ADRs. Auto-detects decision moments, records context, alternatives considered, an
skill	article-writing	ECC	Write articles, guides, blog posts, tutorials, newsletter issues, and other long-form content in a distinctive voice derived from supplied examples or brand gui
skill	automation-audit-ops	ECC	Evidence-first automation inventory and overlap audit workflow for ECC. Use when the user wants to know which jobs, hooks, connectors, MCP servers, or wrappers 
skill	autonomous-agent-harness	ECC	Transform Claude Code into a fully autonomous agent system with persistent memory, scheduled operations, computer use, and task queuing. Replaces standalone age
skill	autonomous-loops	ECC	Patterns and architectures for autonomous Claude Code loops — from simple sequential pipelines to RFC-driven multi-agent DAG systems.
skill	backend-patterns	ECC	Backend architecture patterns, API design, database optimization, and server-side best practices for Node.js, Express, and Next.js API routes.
skill	benchmark-methodology	?	>-
skill	benchmark-optimization-loop	ECC	Use when the user asks to make something faster, try many variants, run recursive optimization, benchmark latency/throughput/cost, or choose the best implementa
skill	benchmark	ECC	Use this skill to measure performance baselines, detect regressions before/after PRs, and compare stack alternatives.
skill	blender-motion-state-inspection	ECC	Use this skill when inspecting Blender characters, rigs, poses, animation retargeting, ground contact, facing direction, or model-vs-motion alignment where scre
skill	blueprint	community	>-
skill	brand-discovery	?	>-
skill	brand-voice	ECC	Build a source-derived writing style profile from real posts, essays, launch notes, docs, or site copy, then reuse that profile across content, outreach, and so
skill	browser-qa	ECC	Use this skill to automate visual testing and UI interaction verification using browser automation after deploying features.
skill	bun-runtime	ECC	Bun as runtime, package manager, bundler, and test runner. When to choose Bun vs Node, migration notes, and Vercel support.
skill	canary-watch	ECC	Use this skill to monitor and verify a deployed URL after releases — checks HTTP endpoints, SSE streams, static assets, console errors, and performance regressi
skill	carrier-relationship-management	ECC	>
skill	cisco-ios-patterns	community	Cisco IOS and IOS-XE review patterns for show commands, config hierarchy, wildcard masks, ACL placement, interface hygiene, and safe change-window verification.
skill	ck	community	Persistent per-project memory for Claude Code. Auto-loads project context on session start, tracks sessions with git activity, and writes to native memory. Comm
skill	claude-devfleet	community	Orchestrate multi-agent coding tasks via Claude DevFleet — plan projects, dispatch parallel agents in isolated worktrees, monitor progress, and read structured 
skill	click-path-audit	community	Trace every user-facing button/touchpoint through its full state change sequence to find bugs where functions individually work but cancel each other out, produ
skill	clickhouse-io	ECC	ClickHouse database patterns, query optimization, analytics, and data engineering best practices for high-performance analytical workloads.
skill	code-tour	ECC	Create CodeTour `.tour` files — persona-targeted, step-by-step walkthroughs with real file and line anchors. Use for onboarding tours, architecture walkthroughs
skill	codebase-onboarding	ECC	Analyze an unfamiliar codebase and generate a structured onboarding guide with architecture map, key entry points, conventions, and a starter CLAUDE.md. Use whe
skill	codehealth-mcp	community	Real-time structural Code Health via CodeScene MCP — review before edits, verify score deltas after changes, gate commits and PRs. Use when reviewing code quali
skill	coding-standards	ECC	Baseline cross-project coding conventions for naming, readability, immutability, and code-quality review. Use detailed frontend or backend skills for framework-
skill	competitive-platform-analysis	?	>-
skill	competitive-report-structure	?	>-
skill	compose-multiplatform-patterns	ECC	Compose Multiplatform and Jetpack Compose patterns for KMP projects — state management, navigation, theming, performance, and platform-specific UI.
