name	description
aside	Answer a quick side question without interrupting or losing context from the current task. Resume work automatically aft
auto-update	Pull the latest ECC repo changes and reinstall the current managed targets.
build-fix	Detect the project build system and incrementally fix build/type errors with minimal safe changes.
checkpoint	Create, verify, or list workflow checkpoints after running verification checks.
code-review	Code review — local uncommitted changes or GitHub PR (pass PR number/URL for PR mode)
cost-report	Generate a local Claude Code cost report from a cost-tracker SQLite database.
cpp-build	Fix C++ build errors, CMake issues, and linker problems incrementally. Invokes the cpp-build-resolver agent for minimal,
cpp-review	Comprehensive C++ code review for memory safety, modern C++ idioms, concurrency, and security. Invokes the cpp-reviewer 
cpp-test	Enforce TDD workflow for C++. Write GoogleTest tests first, then implement. Verify coverage with gcov/lcov.
ecc-guide	Navigate ECC's current agents, skills, commands, hooks, install profiles, and docs from the live repository surface.
epic-claim	Claim an epic issue, stamp coordination state, and sync local ownership.
epic-decompose	Break an epic into task children without creating task branches.
epic-publish	Publish a validated epic update back to the issue and local cache.
epic-review	Mark epic review requested, approved, or changes requested.
epic-sync	Sync epic issue bodies, labels, and local coordination snapshots from GitHub.
epic-unblock	Sweep blocked epic issues and reopen anything whose dependencies are closed.
epic-validate	Validate epic readiness, dependencies, and coordination policy.
evolve	Analyze instincts and suggest or generate evolved structures
fastapi-review	Review a FastAPI application for architecture, async correctness, dependency injection, Pydantic schemas, security, perf
feature-dev	Guided feature development with codebase understanding and architecture focus
flutter-build	Fix Dart analyzer errors and Flutter build failures incrementally. Invokes the dart-build-resolver agent for minimal, su
flutter-review	Review Flutter/Dart code for idiomatic patterns, widget best practices, state management, performance, accessibility, an
flutter-test	Run Flutter/Dart tests, report failures, and incrementally fix test issues. Covers unit, widget, golden, and integration
gan-build	Run a generator/evaluator build loop for implementation tasks with bounded iterations and scoring.
gan-design	Run a generator/evaluator design loop for frontend or visual work with bounded iterations and scoring.
go-build	Fix Go build errors, go vet warnings, and linter issues incrementally. Invokes the go-build-resolver agent for minimal, 
go-review	Comprehensive Go code review for idiomatic patterns, concurrency safety, error handling, and security. Invokes the go-re
go-test	Enforce TDD workflow for Go. Write table-driven tests first, then implement. Verify 80%+ coverage with go test -cover.
gradle-build	Fix Gradle build errors for Android and KMP projects
harness-audit	Run a deterministic repository harness audit and return a prioritized scorecard.
hookify-configure	Enable or disable hookify rules interactively
hookify-help	Get help with the hookify system
hookify-list	List all configured hookify rules
hookify	Create hooks to prevent unwanted behaviors from conversation analysis or explicit instructions
instinct-export	Export instincts from project/global scope to a file
instinct-import	Import instincts from file or URL into project/global scope
instinct-status	Show learned instincts (project + global) with confidence
jira	Retrieve a Jira ticket, analyze requirements, update status, or add comments. Uses the jira-integration skill and MCP or
kotlin-build	Fix Kotlin/Gradle build errors, compiler warnings, and dependency issues incrementally. Invokes the kotlin-build-resolve
kotlin-review	Comprehensive Kotlin code review for idiomatic patterns, null safety, coroutine safety, and security. Invokes the kotlin
kotlin-test	Enforce TDD workflow for Kotlin. Write Kotest tests first, then implement. Verify 80%+ coverage with Kover.
learn-eval	Extract reusable patterns from the session, self-evaluate quality before saving, and determine the right save location (
learn	Extract reusable patterns from the current session and save them as candidate skills or guidance.
loop-start	Start a managed autonomous loop pattern with safety defaults and explicit stop conditions.
loop-status	Inspect active loop state, progress, failure signals, and recommended intervention.
marketing-campaign	Plan and execute a full marketing campaign. Accepts a product brief and returns positioning, landing page copy, email se
model-route	Recommend the best model tier for the current task based on complexity, risk, and budget.
multi-backend	Run a backend-focused multi-model workflow for APIs, algorithms, data, and business logic.
multi-execute	Execute a multi-model implementation plan while preserving Claude as the only filesystem writer.
multi-frontend	Run a frontend-focused multi-model workflow for components, layouts, animation, and UI polish.
multi-plan	Create a multi-model implementation plan without modifying production code.
multi-workflow	Run a full multi-model development workflow with research, planning, execution, optimization, and review.
orch-add-feature	Orchestrate building a brand-new feature end to end — research, plan, TDD, review, gated commit. Wrapper that kicks off 
orch-build-mvp	Orchestrate bootstrapping a working MVP from a design/spec doc — ingest, slice, scaffold, TDD, review, gated commit (reu
